id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
63868	Laura Kraut (Kent-)	F	1966	168	58	United States	USA	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Team	Gold
63933	Adam Kreek	M	1981	193	91	Canada	CAN	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Coxed Eights	Gold
64249	Ranomi Kromowidjojo	F	1991	180	72	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 100 metres Freestyle Relay	Gold
65144	Kateina Krkov-Emmons	F	1984	165	53	Czech Republic	CZE	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Women's Air Rifle, 10 metres	Gold
65346	Olga Petrovna Kuzhela	F	1986	172	55	Russia	RUS	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	Gold
65427	Manuchar K'virk'velia	M	1979	170	74	Georgia	GEO	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Middleweight, Greco-Roman	Gold
66123	Eric Lamaze	M	1968	170	65	Canada	CAN	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Individual	Gold
66177	Richard Edward "Rich" Lambourne	M	1975	190	100	United States	USA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	Gold
66220	Yevgeniya Alekseyevna Lamonova	F	1984	174	62	Russia	RUS	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Women's Foil, Team	Gold
66416	Nancy Jebet Langat	F	1982	153	49	Kenya	KEN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 1,500 metres	Gold
66847	Tonje Larsen	F	1975	184	72	Norway	NOR	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	Gold
67223	Ezequiel Ivn Lavezzi	M	1985	173	75	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Gold
67358	Kara Marie Lawson	F	1981	175	75	United States	USA	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	Gold
67804	Lee Chang-Hwan	M	1982	178	78	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Archery	Archery Men's Team	Gold
67830	Lee Dae-Ho	M	1982	192	120	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Gold
67839	David Cameron Lee	M	1982	203	105	United States	USA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	Gold
67958	Lee Hyo-Jeong	F	1981	181	74	South Korea-1	KOR	2008 Summer	2008	Summer	Beijing	Badminton	Badminton Mixed Doubles	Gold
68016	Lee Jin-Yeong	M	1980	185	90	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Gold
68027	Lee Jong-Uk	M	1980	176	77	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Gold
68147	Lee Seung-Yeop	M	1977	183	92	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Gold
68174	Lee Taek-Geun	M	1980	182	83	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Gold
68209	Lee Yong-Dae	M	1989	180	74	South Korea-1	KOR	2008 Summer	2008	Summer	Beijing	Badminton	Badminton Mixed Doubles	Gold
68211	Lee Yong-Gyu	M	1986	175	70	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Gold
68741	Lisbeth Constance "Libby" Lenton-Trickett	F	1985	167	60	Australia	AUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 100 metres Butterfly	Gold
68741	Lisbeth Constance "Libby" Lenton-Trickett	F	1985	167	60	Australia	AUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 100 metres Medley Relay	Gold
68985	Lisa Deshawn Leslie (-Lockwood)	F	1972	196	77	United States	USA	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	Gold
69288	Jason Edward Lezak	M	1976	193	98	United States	USA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 100 metres Freestyle Relay	Gold
69288	Jason Edward Lezak	M	1976	193	98	United States	USA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 100 metres Medley Relay	Gold
69483	Li Shanshan	F	1992	145	36	China	CHN	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Team All-Around	Gold
69526	Li Xiaopeng	M	1981	162	56	China	CHN	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Team All-Around	Gold
69526	Li Xiaopeng	M	1981	162	56	China	CHN	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Men's Parallel Bars	Gold
69636	Liao Hui	M	1988	168	69	China	CHN	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Lightweight	Gold
