id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
132072	Xu Lijia	F	1988	176	60	China	CHN	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Women's One Person Dinghy	Bronze
132079	Xu Tianlongzi	F	1991	168	56	China	CHN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 100 metres Medley Relay	Bronze
132092	Xu Yan	F	1982	166	57	China	CHN	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Lightweight	Bronze
132103	Xu Yunli	F	1987	195	75	China	CHN	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	Bronze
132112	Xue Chen	F	1989	190	79	China-2	CHN	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Women's Beach Volleyball	Bronze
132115	Xue Haifeng	M	1980	181	88	China	CHN	2008 Summer	2008	Summer	Beijing	Archery	Archery Men's Team	Bronze
132118	Xue Ming	F	1987	193	68	China	CHN	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	Bronze
132422	Yan Zi	F	1985	171	55	China-1	CHN	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Women's Doubles	Bronze
132439	Yavor Dimitrov Yanakiev	M	1985	175	74	Bulgaria	BUL	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Middleweight, Greco-Roman	Bronze
132495	Yang Hao	F	1980	183	75	China	CHN	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	Bronze
132568	Yang Yilin	F	1993	150	35	China	CHN	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Individual All-Around	Bronze
132568	Yang Yilin	F	1993	150	35	China	CHN	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Uneven Bars	Bronze
132774	Alfred Kirwa Yego	M	1987	175	56	Kenya	KEN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 800 metres	Bronze
132939	Nadezhda Aleksandrovna Yevstyukhina	F	1988	167	74	Russia	RUS	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Women's Heavyweight	Bronze
133078	Yoon Jae-Young	M	1983	172	66	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Team	Bronze
133363	Yu Seung-Min	M	1982	178	72	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Team	Bronze
133381	Yu Yang	F	1986	166	62	China-1	CHN	2008 Summer	2008	Summer	Beijing	Badminton	Badminton Mixed Doubles	Bronze
133443	Maria Kristin Yulianti	F	1985	167	53	Indonesia	INA	2008 Summer	2008	Summer	Beijing	Badminton	Badminton Women's Singles	Bronze
133448	Kenichi Yumoto	M	1985	166	60	Japan	JPN	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Lightweight, Freestyle	Bronze
133483	Yun Ok-Hui	F	1985	162	63	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Archery	Archery Women's Individual	Bronze
133512	Denys Serhiyovych Yurchenko	M	1978	175	75	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Pole Vault	Bronze
133642	Andrejus Zadneprovskis	M	1975	176	74	Lithuania	LTU	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Men's Individual	Bronze
133685	Mariel Leigh Zagunis	F	1985	173	72	United States	USA	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Women's Sabre, Team	Bronze
134521	Zhang Na	F	1980	180	72	China	CHN	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	Bronze
134559	Zhang Wenxiu	F	1986	183	105	China	CHN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Hammer Throw	Bronze
134561	Zhang Xi	F	1985	183	72	China-2	CHN	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Women's Beach Volleyball	Bronze
134568	Zhang Xiaohuan	F	1981	170	55	China	CHN	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	Bronze
134597	Zhang Yawen	F	1985	162	58	China-2	CHN	2008 Summer	2008	Summer	Beijing	Badminton	Badminton Women's Doubles	Bronze
134646	Zhao Jing	F	1991	176	63	China	CHN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 100 metres Medley Relay	Bronze
134659	Zhao Ruirui	F	1982	196	70	China	CHN	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	Bronze
134731	Zheng Jie	F	1983	164	57	China-1	CHN	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Women's Doubles	Bronze
134789	Zhou Chunxiu	F	1979	162	45	China	CHN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Marathon	Bronze
134813	Zhou Suhong	F	1979	182	73	China	CHN	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	Bronze
134820	Zhou Yafei	F	1984	180	70	China	CHN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 100 metres Medley Relay	Bronze
134840	Zhu Guo	M	1985	187	79	China	CHN	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Men's Welterweight	Bronze
135322	Nathalie Xenia Margareta Benedikte zu Sayn-Wittgenstein-Berleburg	F	1975	176	85	Digby	DEN	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Dressage, Team	Bronze
135332	Shahar Zubari	M	1987	177	68	Israel	ISR	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Men's Windsurfer	Bronze
135335	Martina Zubi	F	1989	173	55	Croatia	CRO	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Featherweight	Bronze
135508	Vera Igorevna Zvonaryova	F	1985	172	59	Russia	RUS	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Women's Singles	Bronze
