id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal	age
1203	Renzo Pasquale Zeglio Agresta	M	1985	181	76	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's Sabre, Individual	NA	23
1204	Lindy Brigitte Agricole (Leveau-)	F	1974	175	70	Seychelles	SEY	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Javelin Throw	NA	34
1212	Ral Alfonso Aguayo Saladin	M	1981	189	82	Dominican Republic	DOM	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Men's One Person Dinghy	NA	27
1220	Sergio Leonel Agero del Castillo	M	1988	172	74	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Gold	20
1221	Taismary "Tai" Agero Leiva (-Botteghi)	F	1977	175	70	Italy	ITA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA	31
1234	Alessandra Aguilar Morn	F	1978	165	50	Spain	ESP	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Marathon	NA	30
1240	Elisabeth "Elisa" Aguilar Lpez	F	1977	172	75	Spain	ESP	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	NA	31
1247	Iaki Aguilar Vicente	M	1984	189	82	Spain	ESP	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA	24
1251	Karel Aguilar Chacn	M	1980	175	85	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 500 metres	NA	28
1251	Karel Aguilar Chacn	M	1980	175	85	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 1,000 metres	NA	28
1269	Jessica Carolina Aguilera Aguilera	F	1985	167	57	Nicaragua	NCA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 100 metres	NA	23
1278	Damaris Gabriela Aguirre Aldaz	F	1977	163	75	Mexico	MEX	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Women's Heavyweight	NA	31
1283	Jeinkler Ernesto Aguirre Manso	M	1990	165	57	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Platform	NA	18
1290	Marcelo Vctor Aguirre	M	1993	174	66	Paraguay	PAR	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Singles	NA	15
1313	Robyn Mokihana Ah Mow-Santos	F	1976	172	67	United States	USA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	Silver	32
1314	Juliette Chantal Ah-Wan	F	1981	155	57	Seychelles	SEY	2008 Summer	2008	Summer	Beijing	Badminton	Badminton Mixed Doubles	NA	27
1316	Feta Ahamada	F	1987	160	50	Comoros	COM	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 100 metres	NA	21
1317	Younes Al-Ahamdi	M	1976	167	60	Morocco	MAR	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Extra-Lightweight	NA	32
1354	Johanna Maria Helne Ahlm	F	1988	175	69	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	NA	20
1356	Christian Ahlmann	M	1975	189	80	Germany	GER	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Individual	NA	33
1356	Christian Ahlmann	M	1975	189	80	Germany	GER	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Team	NA	33
1381	Abdalla Ahmed	M	1984	198	72	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA	24
1382	Abdel Latif Ahmed	M	1984	202	90	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA	24
1398	Heba Ahmed	F	1985	176	72	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Women's Single Sculls	NA	23
1410	Nasir Ahmed	M	1985	165	65	Pakistan	PAK	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA	23
1419	Zemzem Ahmed Deko	F	1985	170	53	Ethiopia	ETH	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 3,000 metres Steeplechase	NA	23
1445	Gaby Diana Ahrens	F	1981	169	60	Namibia	NAM	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Women's Trap	NA	27
1460	Johannes Ahun	M	1988	187	76	Estonia	EST	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Men's Windsurfer	NA	20
1467	Mara Magdalena Aicega Amicarelli	F	1974	165	60	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	Bronze	34
1498	Charles Benedict "Ben" Ainslie	M	1977	183	90	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Mixed One Person Dinghy	Gold	31
1514	Tassadit Assou	F	1989	184	80	Algeria	ALG	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA	19
1518	Kamel Ait Daoud	M	1985	180	70	Algeria	ALG	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Lightweight Double Sculls	NA	23
1527	Souad At Salem (-Mahour-Bacha)	F	1979	158	50	Algeria	ALG	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Marathon	NA	29
1535	Kiera Leigh Aitken	F	1984	167	55	Bermuda	BER	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 100 metres Backstroke	NA	24
1539	Marina Aleksandrovna Aitova (Korzhova-)	F	1983	177	58	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's High Jump	NA	25
